Warning: Identity file /Users/briandillmann/.ssh/google_compute_engine not accessible: Operation not permitted.
Warning: Permanently added '34.148.248.120' (ED25519) to the list of known hosts.
Cloning into 'goodhistogram'...
=== worker: x86_64, 24 cores, go version go1.25.5 linux/amd64 ===
goos: linux
goarch: amd64
pkg: github.com/cockroachdb/goodhistogram
cpu: Intel(R) Xeon(R) CPU @ 2.80GHz
BenchmarkMinMaxContention/g=50/order=descending/record-padded-24     	25928056	        40.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-padded-24     	28504078	        45.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-padded-24     	28691709	        45.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-padded-24     	24746674	        40.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-24               	50485569	        39.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-24               	51549234	        39.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-24               	51140235	        39.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-24               	51262306	        39.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-24               	51110376	        39.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-24               	51640120	        39.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-24               	52222792	        39.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-24               	51219258	        39.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-minmax-24        	26577880	        45.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-minmax-24        	23169765	        43.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-minmax-24        	25578058	        44.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-minmax-24        	26676580	        43.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-minmax-24        	27926353	        43.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-minmax-24        	26991807	        43.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-minmax-24        	27629614	        43.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-minmax-24        	27250623	        44.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-padded-24        	25594387	        45.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-padded-24        	25307973	        43.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-padded-24        	28474675	        45.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-padded-24        	26382522	        42.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-padded-24        	28188111	        45.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-padded-24        	26435445	        42.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-padded-24        	26141952	        42.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-padded-24        	28140337	        42.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-24            	47657275	        40.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-24            	49355240	        39.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-24            	52912359	        39.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-24            	52065015	        39.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-24            	51629506	        39.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-24            	51865963	        39.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-24            	52230640	        38.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-24            	51424269	        38.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-minmax-24     	26427514	        43.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-minmax-24     	27398674	        42.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-minmax-24     	27989769	        42.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-minmax-24     	27635350	        42.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-minmax-24     	27443670	        42.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-minmax-24     	27938096	        43.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-minmax-24     	26702427	        42.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-minmax-24     	27487146	        42.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-padded-24     	29079151	        44.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-padded-24     	25609038	        39.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-padded-24     	29337481	        44.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-padded-24     	24873205	        44.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-padded-24     	26313811	        40.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-padded-24     	28656385	        44.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-padded-24     	25655955	        40.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-padded-24     	29255382	        44.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-24           	51964284	        38.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-24           	52169224	        23.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-24           	50746606	        38.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-24           	52168753	        38.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-24           	48951948	        38.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-24           	51967264	        37.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-24           	53992588	        37.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-24           	52096189	        38.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-minmax-24    	27471246	        43.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-minmax-24    	26375866	        42.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-minmax-24    	27135022	        42.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-minmax-24    	25580972	        42.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-minmax-24    	27204883	        43.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-minmax-24    	26850654	        42.04 ns/op	       0 B/op	       0 allocs/op
