go: downloading github.com/prometheus/client_golang v1.23.2
go: downloading github.com/prometheus/client_model v0.6.2
go: downloading github.com/stretchr/testify v1.11.1
go: downloading google.golang.org/protobuf v1.36.8
go: downloading github.com/davecgh/go-spew v1.1.1
go: downloading github.com/pmezard/go-difflib v1.0.0
go: downloading gopkg.in/yaml.v3 v3.0.1
go: downloading github.com/prometheus/common v0.66.1
go: downloading github.com/beorn7/perks v1.0.1
go: downloading github.com/cespare/xxhash/v2 v2.3.0
go: downloading github.com/prometheus/procfs v0.16.1
go: downloading github.com/munnerz/goautoneg v0.0.0-20191010083416-a7dc8b61c822
go: downloading go.yaml.in/yaml/v2 v2.4.2
go: downloading golang.org/x/sys v0.35.0
goos: linux
goarch: arm64
pkg: github.com/cockroachdb/goodhistogram
BenchmarkMinMaxContention/g=50/order=steady/record-minmax-8         	12824150	        95.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-minmax-8         	12594732	       100.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-minmax-8         	13743326	        95.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-minmax-8         	12761194	        94.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-minmax-8         	12932263	        93.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-padded-8         	20401658	        92.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-padded-8         	18857780	        90.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-padded-8         	20428015	        92.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-padded-8         	17850171	        93.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-padded-8         	18399045	        96.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-padded-8         	18430604	        97.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=steady/record-padded-8         	20888845	       103.0 ns/op	       0 B/op	       0 allocs/op
