goos: darwin
goarch: arm64
pkg: github.com/cockroachdb/goodhistogram
cpu: Apple M3 Pro
BenchmarkMinMaxContention/g=100/order=steady/record-padded-11        	21401020	        54.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-padded-11        	22551189	        55.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-padded-11        	18104667	        55.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=steady/record-padded-11        	21839541	        66.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-11            	21346899	        51.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-11            	22717519	        54.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-11            	21265785	        59.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-11            	25560964	        56.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-11            	27081871	        51.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-11            	20116170	        56.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-11            	19616590	        58.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-11            	35007918	        50.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-minmax-11     	24220977	        57.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-minmax-11     	28202518	        50.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-minmax-11     	23214746	        51.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-minmax-11     	21826540	        56.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-minmax-11     	20894660	        53.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-minmax-11     	20358627	        56.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-minmax-11     	21897512	        51.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-minmax-11     	22869640	        52.13 ns/op	       0 B/op	       0 allocs/op
